street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,price_per_sqft
1122 WILD POPPY CT,GALT,95632,CA,3,2,1406,Residential,Wed May 21 00:00:00 EDT 2008,178760,38.287789,-121.294715,127.14082503556187
4520 BOMARK WAY,SACRAMENTO,95842,CA,4,2,1943,Multi-Family,Wed May 21 00:00:00 EDT 2008,179580,38.665724,-121.358576,92.42408646423057
5993 SAWYER CIR,SACRAMENTO,95823,CA,4,3,1851,Residential,Wed May 21 00:00:00 EDT 2008,182587,38.4473,-121.435218,98.64235548352242
9021 MADISON AVE,ORANGEVALE,95662,CA,4,2,1603,Residential,Wed May 21 00:00:00 EDT 2008,183200,38.664186,-121.217511,114.28571428571429
404 6TH ST,GALT,95632,CA,3,1,1479,Residential,Wed May 21 00:00:00 EDT 2008,188741,38.251808,-121.302493,127.61392832995267
8317 SUNNY CREEK WAY,SACRAMENTO,95823,CA,3,2,1420,Residential,Wed May 21 00:00:00 EDT 2008,189000,38.459041,-121.424644,133.09859154929578
7005 TIANT WAY,ELK GROVE,95758,CA,3,2,1586,Residential,Wed May 21 00:00:00 EDT 2008,194000,38.422811,-121.423285,122.3203026481715
7895 CABER WAY,ANTELOPE,95843,CA,3,2,1362,Residential,Wed May 21 00:00:00 EDT 2008,194818,38.711279,-121.393449,143.03817914831131
7624 BOGEY CT,SACRAMENTO,95828,CA,4,4,2162,Multi-Family,Wed May 21 00:00:00 EDT 2008,195000,38.48009,-121.415102,90.19426456984274
8708 MESA BROOK WAY,ELK GROVE,95624,CA,4,2,1715,Residential,Wed May 21 00:00:00 EDT 2008,199500,38.44076,-121.385792,116.3265306122449
120 GRANT LN,FOLSOM,95630,CA,3,2,1820,Residential,Wed May 21 00:00:00 EDT 2008,200000,38.687742,-121.17104,109.89010989010988
170 PENHOW CIR,SACRAMENTO,95834,CA,3,2,1511,Residential,Wed May 21 00:00:00 EDT 2008,208000,38.653439,-121.535169,137.65718067504963
8345 STAR THISTLE WAY,SACRAMENTO,95823,CA,4,2,1590,Residential,Wed May 21 00:00:00 EDT 2008,212864,38.454349,-121.439239,133.87672955974844
9080 FRESCA WAY,ELK GROVE,95758,CA,4,2,1596,Residential,Wed May 21 00:00:00 EDT 2008,221000,38.427818,-121.424026,138.47117794486215
8373 BLACKMAN WAY,ELK GROVE,95624,CA,5,3,2136,Residential,Wed May 21 00:00:00 EDT 2008,223058,38.435436,-121.394536,104.42790262172285
9837 CORTE DORADO CT,ELK GROVE,95624,CA,4,2,1616,Residential,Wed May 21 00:00:00 EDT 2008,227887,38.400676,-121.38101,141.01918316831683
9186 KINBRACE CT,SACRAMENTO,95829,CA,4,3,2235,Residential,Wed May 21 00:00:00 EDT 2008,236685,38.463355,-121.358936,105.8993288590604
4243 MIDDLEBURY WAY,MATHER,95655,CA,3,2,2093,Residential,Wed May 21 00:00:00 EDT 2008,237800,38.547991,-121.280483,113.61681796464406
4804 NORIKER DR,ELK GROVE,95757,CA,3,2,2163,Residential,Wed May 21 00:00:00 EDT 2008,242638,38.400974,-121.448424,112.17660656495607
8636 TEGEA WAY,ELK GROVE,95624,CA,5,3,2508,Residential,Wed May 21 00:00:00 EDT 2008,245918,38.443832,-121.382087,98.05342902711324
4901 MILLNER WAY,ELK GROVE,95757,CA,3,2,1843,Residential,Wed May 21 00:00:00 EDT 2008,254200,38.38692,-121.447349,137.927292457949
4818 BRITTNEY LEE CT,SACRAMENTO,95841,CA,4,2,1921,Residential,Wed May 21 00:00:00 EDT 2008,254200,38.653917,-121.34218,132.3269130661114
5529 LAGUNA PARK DR,ELK GROVE,95758,CA,5,3,2790,Residential,Wed May 21 00:00:00 EDT 2008,258000,38.42568,-121.438062,92.47311827956989
7842 LAHONTAN CT,SACRAMENTO,95829,CA,4,3,2372,Residential,Wed May 21 00:00:00 EDT 2008,273750,38.472976,-121.318633,115.40893760539629
2064 EXPEDITION WAY,SACRAMENTO,95832,CA,4,3,3009,Residential,Wed May 21 00:00:00 EDT 2008,280987,38.474099,-121.490711,93.3821867730143
2912 NORCADE CIR,SACRAMENTO,95826,CA,8,4,3612,Multi-Family,Wed May 21 00:00:00 EDT 2008,282400,38.559505,-121.364839,78.18383167220377
9507 SEA CLIFF WAY,ELK GROVE,95758,CA,4,2,2056,Residential,Wed May 21 00:00:00 EDT 2008,285000,38.410992,-121.479043,138.61867704280155
8882 AUTUMN GOLD CT,ELK GROVE,95624,CA,4,2,1993,Residential,Wed May 21 00:00:00 EDT 2008,287417,38.4439,-121.37255,144.21324636226794
10158 CRAWFORD WAY,SACRAMENTO,95827,CA,4,4,2213,Multi-Family,Wed May 21 00:00:00 EDT 2008,297000,38.5703,-121.315735,134.2069588793493
7731 MASTERS ST,ELK GROVE,95758,CA,5,3,2494,Residential,Wed May 21 00:00:00 EDT 2008,297000,38.442031,-121.410873,119.08580593424219
4727 SAVOIE WAY,SACRAMENTO,95835,CA,5,3,2800,Residential,Wed May 21 00:00:00 EDT 2008,304037,38.658182,-121.549521,108.58464285714285
8664 MAGNOLIA HILL WAY,ELK GROVE,95624,CA,4,2,2309,Residential,Wed May 21 00:00:00 EDT 2008,311000,38.442352,-121.389675,134.69034213945432
9570 HARVEST ROSE WAY,SACRAMENTO,95827,CA,5,3,2367,Residential,Wed May 21 00:00:00 EDT 2008,315537,38.555993,-121.340352,133.30671736375157
4359 CREGAN CT,RANCHO CORDOVA,95742,CA,5,4,3516,Residential,Wed May 21 00:00:00 EDT 2008,320000,38.545128,-121.224922,91.01251422070534
4620 WELERA WAY,ELK GROVE,95757,CA,3,3,2725,Residential,Wed May 21 00:00:00 EDT 2008,335750,38.398609,-121.450148,123.21100917431193
9723 TERRAPIN CT,ELK GROVE,95757,CA,4,3,2354,Residential,Wed May 21 00:00:00 EDT 2008,335750,38.403492,-121.430224,142.62956669498726
6708 PONTA DO SOL WAY,ELK GROVE,95757,CA,4,2,3134,Residential,Wed May 21 00:00:00 EDT 2008,347650,38.380635,-121.425538,110.92852584556478
15300 MURIETA SOUTH PKWY,RANCHO MURIETA,95683,CA,4,3,2734,Residential,Wed May 21 00:00:00 EDT 2008,370500,38.4874,-121.075129,135.5157278712509
7105 DANBERG WAY,ELK GROVE,95757,CA,5,3,3164,Residential,Wed May 21 00:00:00 EDT 2008,375000,38.4019,-121.420388,118.52085967130215
5579 JERRY LITELL WAY,SACRAMENTO,95835,CA,5,3,3599,Residential,Wed May 21 00:00:00 EDT 2008,381300,38.677126,-121.500519,105.94609613781606
6801 RAWLEY WAY,ELK GROVE,95757,CA,4,3,3440,Residential,Wed May 21 00:00:00 EDT 2008,394470,38.408351,-121.423925,114.67151162790698
1693 SHELTER COVE DR,GREENWOOD,95635,CA,3,2,2846,Residential,Wed May 21 00:00:00 EDT 2008,395000,38.945357,-120.908822,138.7912860154603
6945 RIO TEJO WAY,ELK GROVE,95757,CA,5,3,3433,Residential,Wed May 21 00:00:00 EDT 2008,425000,38.385638,-121.422616,123.79842703175065
4186 TULIP PARK WAY,RANCHO CORDOVA,95742,CA,5,3,3615,Residential,Wed May 21 00:00:00 EDT 2008,430000,38.550617,-121.23526,118.94882434301522
7004 RAWLEY WAY,ELK GROVE,95757,CA,4,3,3440,Residential,Wed May 21 00:00:00 EDT 2008,489332,38.406421,-121.422081,142.24767441860465
6503 RIO DE ONAR WAY,ELK GROVE,95757,CA,5,4,3508,Residential,Wed May 21 00:00:00 EDT 2008,510000,38.38253,-121.428038,145.38198403648803
6272 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,2,1,795,Condo,Tue May 20 00:00:00 EDT 2008,69000,38.680923,-121.313945,86.79245283018868
3432 Y ST,SACRAMENTO,95817,CA,4,2,1099,Residential,Tue May 20 00:00:00 EDT 2008,70000,38.554967,-121.468046,63.69426751592356
9512 EMERALD PARK DR Unit 3,ELK GROVE,95624,CA,2,1,840,Condo,Tue May 20 00:00:00 EDT 2008,71000,38.40573,-121.369832,84.52380952380952
3132 CLAY ST,SACRAMENTO,95815,CA,2,1,800,Residential,Tue May 20 00:00:00 EDT 2008,78000,38.624678,-121.439203,97.5
5221 38TH AVE,SACRAMENTO,95824,CA,2,1,746,Residential,Tue May 20 00:00:00 EDT 2008,78400,38.518044,-121.443555,105.09383378016086
6112 HERMOSA ST,SACRAMENTO,95822,CA,3,1,1067,Residential,Tue May 20 00:00:00 EDT 2008,80000,38.515125,-121.480416,74.97656982193065
483 ARCADE BLVD,SACRAMENTO,95815,CA,4,2,1316,Residential,Tue May 20 00:00:00 EDT 2008,89000,38.623571,-121.454884,67.62917933130699
671 SONOMA AVE,SACRAMENTO,95815,CA,3,1,1337,Residential,Tue May 20 00:00:00 EDT 2008,90000,38.622953,-121.450142,67.31488406881077
5980 79TH ST,SACRAMENTO,95824,CA,2,1,868,Residential,Tue May 20 00:00:00 EDT 2008,90000,38.518373,-121.411779,103.68663594470046
7607 ELDER CREEK RD,SACRAMENTO,95824,CA,3,1,924,Residential,Tue May 20 00:00:00 EDT 2008,92000,38.51055,-121.414768,99.56709956709956
1069 ACACIA AVE,SACRAMENTO,95815,CA,2,1,1220,Residential,Tue May 20 00:00:00 EDT 2008,98000,38.621998,-121.442238,80.32786885245902
5201 LAGUNA OAKS DR Unit 199,ELK GROVE,95758,CA,1,1,722,Condo,Tue May 20 00:00:00 EDT 2008,98000,38.423251,-121.444489,135.73407202216066
3847 LAS PASAS WAY,SACRAMENTO,95864,CA,3,1,1643,Residential,Tue May 20 00:00:00 EDT 2008,99000,38.588672,-121.373916,60.255629945222154
5201 LAGUNA OAKS DR Unit 172,ELK GROVE,95758,CA,1,1,722,Condo,Tue May 20 00:00:00 EDT 2008,100000,38.423251,-121.444489,138.50415512465375
1121 CREEKSIDE WAY,GALT,95632,CA,3,1,1080,Residential,Tue May 20 00:00:00 EDT 2008,106716,38.241514,-121.312199,98.81111111111112
5307 CABRILLO WAY,SACRAMENTO,95820,CA,3,1,1039,Residential,Tue May 20 00:00:00 EDT 2008,111000,38.52712,-121.435348,106.8334937439846
3725 DON JULIO BLVD,NORTH HIGHLANDS,95660,CA,3,1,1051,Residential,Tue May 20 00:00:00 EDT 2008,111000,38.67895,-121.379406,105.61370123691722
4803 MCCLOUD DR,SACRAMENTO,95842,CA,2,2,967,Residential,Tue May 20 00:00:00 EDT 2008,114800,38.682279,-121.352817,118.717683557394
10542 SILVERWOOD WAY,RANCHO CORDOVA,95670,CA,3,1,1098,Residential,Tue May 20 00:00:00 EDT 2008,120108,38.587156,-121.295778,109.3879781420765
6318 39TH AVE,SACRAMENTO,95824,CA,3,1,1050,Residential,Tue May 20 00:00:00 EDT 2008,123225,38.518942,-121.430158,117.35714285714286
211 MCDANIEL CIR,SACRAMENTO,95838,CA,3,2,1110,Residential,Tue May 20 00:00:00 EDT 2008,123750,38.636565,-121.460383,111.48648648648648
3800 LYNHURST WAY,NORTH HIGHLANDS,95660,CA,3,1,888,Residential,Tue May 20 00:00:00 EDT 2008,125000,38.650445,-121.374861,140.76576576576576
6139 HERMOSA ST,SACRAMENTO,95822,CA,3,2,1120,Residential,Tue May 20 00:00:00 EDT 2008,125000,38.514665,-121.480411,111.60714285714286
2505 RHINE WAY,ELVERTA,95626,CA,3,2,1080,Residential,Tue May 20 00:00:00 EDT 2008,126000,38.717976,-121.407684,116.66666666666667
3692 PAYNE WAY,NORTH HIGHLANDS,95660,CA,3,1,957,Residential,Tue May 20 00:00:00 EDT 2008,129000,38.66654,-121.378298,134.79623824451411
604 MORRISON AVE,SACRAMENTO,95838,CA,2,1,952,Residential,Tue May 20 00:00:00 EDT 2008,134000,38.637678,-121.452476,140.7563025210084
648 SANTA ANA AVE,SACRAMENTO,95838,CA,3,2,1211,Residential,Tue May 20 00:00:00 EDT 2008,135000,38.658478,-121.450409,111.47811725846408
14 ASHLEY OAKS CT,SACRAMENTO,95815,CA,3,2,1264,Residential,Tue May 20 00:00:00 EDT 2008,135500,38.61779,-121.436765,107.1993670886076
3174 NORTHVIEW DR,SACRAMENTO,95833,CA,3,1,1080,Residential,Tue May 20 00:00:00 EDT 2008,140000,38.623817,-121.477827,129.62962962962962
840 TRANQUIL LN,GALT,95632,CA,3,2,1266,Residential,Tue May 20 00:00:00 EDT 2008,140000,38.270617,-121.299205,110.58451816745655
5333 PRIMROSE DR Unit 19A,FAIR OAKS,95628,CA,2,2,994,Condo,Tue May 20 00:00:00 EDT 2008,142500,38.662785,-121.276272,143.36016096579476
1035 MILLET WAY,SACRAMENTO,95834,CA,3,2,1202,Residential,Tue May 20 00:00:00 EDT 2008,143500,38.631056,-121.48508,119.38435940099833
8001 HARTWICK WAY,SACRAMENTO,95828,CA,4,2,1448,Residential,Tue May 20 00:00:00 EDT 2008,145000,38.488623,-121.410582,100.13812154696133
7812 HARTWICK WAY,SACRAMENTO,95828,CA,3,2,1188,Residential,Tue May 20 00:00:00 EDT 2008,145000,38.488611,-121.412808,122.05387205387206
4207 PAINTER WAY,NORTH HIGHLANDS,95660,CA,4,2,1183,Residential,Tue May 20 00:00:00 EDT 2008,146000,38.692915,-121.367497,123.41504649196956
7458 WINKLEY WAY,SACRAMENTO,95822,CA,3,1,1320,Residential,Tue May 20 00:00:00 EDT 2008,148500,38.487444,-121.491366,112.5
8354 SUNRISE WOODS WAY,SACRAMENTO,95828,CA,3,2,1117,Residential,Tue May 20 00:00:00 EDT 2008,149000,38.473288,-121.3963,133.3930170098478
8116 COTTONMILL CIR,SACRAMENTO,95828,CA,3,2,1364,Residential,Tue May 20 00:00:00 EDT 2008,150000,38.482876,-121.405912,109.97067448680352
4660 CEDARWOOD WAY,SACRAMENTO,95823,CA,4,2,1310,Residential,Tue May 20 00:00:00 EDT 2008,150000,38.484834,-121.449316,114.50381679389314
6716 TAREYTON WAY,CITRUS HEIGHTS,95621,CA,3,2,1104,Residential,Tue May 20 00:00:00 EDT 2008,156000,38.693724,-121.307169,141.30434782608697
9346 AIZENBERG CIR,ELK GROVE,95624,CA,2,2,1123,Residential,Tue May 20 00:00:00 EDT 2008,156000,38.41875,-121.370019,138.91362422083705
7140 BLUE SPRINGS WAY,CITRUS HEIGHTS,95621,CA,3,2,1156,Residential,Tue May 20 00:00:00 EDT 2008,161653,38.720653,-121.302241,139.83823529411765
4631 11TH AVE,SACRAMENTO,95820,CA,2,1,1321,Residential,Tue May 20 00:00:00 EDT 2008,161829,38.541965,-121.452132,122.50492051476155
3228 BAGGAN CT,ANTELOPE,95843,CA,3,2,1392,Residential,Tue May 20 00:00:00 EDT 2008,165000,38.715346,-121.388163,118.53448275862068
8515 DARTFORD DR,SACRAMENTO,95823,CA,3,2,1439,Residential,Tue May 20 00:00:00 EDT 2008,168000,38.448288,-121.420719,116.74774148714386
2460 EL ROCCO WAY,RANCHO CORDOVA,95670,CA,3,2,1671,Residential,Tue May 20 00:00:00 EDT 2008,175000,38.591477,-121.31534,104.7277079593058
8244 SUNBIRD WAY,SACRAMENTO,95823,CA,3,2,1740,Residential,Tue May 20 00:00:00 EDT 2008,176250,38.457654,-121.431381,101.29310344827586
5841 VALLEY VALE WAY,SACRAMENTO,95823,CA,3,2,1265,Residential,Tue May 20 00:00:00 EDT 2008,179000,38.461283,-121.434322,141.50197628458497
7129 SPRINGMONT DR,ELK GROVE,95758,CA,3,2,1716,Residential,Tue May 20 00:00:00 EDT 2008,180400,38.417649,-121.420294,105.12820512820512
8284 RED FOX WAY,ELK GROVE,95758,CA,4,2,1685,Residential,Tue May 20 00:00:00 EDT 2008,182000,38.417182,-121.397231,108.01186943620178
2219 EL CANTO CIR,RANCHO CORDOVA,95670,CA,4,2,1829,Residential,Tue May 20 00:00:00 EDT 2008,184500,38.592383,-121.318669,100.87479496992893
8907 GEMWOOD WAY,ELK GROVE,95758,CA,3,2,1555,Residential,Tue May 20 00:00:00 EDT 2008,185000,38.435471,-121.441173,118.97106109324758
4437 MITCHUM CT,ANTELOPE,95843,CA,3,2,1393,Residential,Tue May 20 00:00:00 EDT 2008,200000,38.704407,-121.36113,143.57501794687724
4899 WIND CREEK DR,SACRAMENTO,95838,CA,4,2,1799,Residential,Tue May 20 00:00:00 EDT 2008,205000,38.655887,-121.446119,113.95219566425791
6049 HAMBURG WAY,SACRAMENTO,95823,CA,4,3,1953,Residential,Tue May 20 00:00:00 EDT 2008,205000,38.443253,-121.431992,104.96671786994368
5805 HIMALAYA WAY,CITRUS HEIGHTS,95621,CA,4,2,1578,Residential,Tue May 20 00:00:00 EDT 2008,215000,38.696489,-121.328555,136.24841571609633
3025 EL PRADO WAY,SACRAMENTO,95825,CA,4,2,1751,Residential,Tue May 20 00:00:00 EDT 2008,225000,38.606603,-121.394147,128.49800114220446
9257 CALDERA WAY,SACRAMENTO,95826,CA,4,2,1605,Residential,Tue May 20 00:00:00 EDT 2008,228000,38.55821,-121.355022,142.05607476635515
5340 BIRK WAY,SACRAMENTO,95835,CA,3,2,1776,Residential,Tue May 20 00:00:00 EDT 2008,234000,38.672495,-121.515251,131.75675675675674
51 ANJOU CIR,SACRAMENTO,95835,CA,3,2,2187,Residential,Tue May 20 00:00:00 EDT 2008,235000,38.661658,-121.540633,107.45313214449017
8219 GWINHURST CIR,SACRAMENTO,95828,CA,4,3,2491,Residential,Tue May 20 00:00:00 EDT 2008,245000,38.459711,-121.384283,98.35407466880771
6344 BONHAM CIR,CITRUS HEIGHTS,95610,CA,5,4,2085,Multi-Family,Tue May 20 00:00:00 EDT 2008,256054,38.682358,-121.272876,122.80767386091127
8207 YORKTON WAY,SACRAMENTO,95829,CA,3,2,2170,Residential,Tue May 20 00:00:00 EDT 2008,257729,38.45967,-121.360461,118.76912442396313
5342 CALABRIA WAY,SACRAMENTO,95835,CA,4,3,2030,Residential,Tue May 20 00:00:00 EDT 2008,270000,38.671807,-121.498274,133.00492610837438
9455 SEA CLIFF WAY,ELK GROVE,95758,CA,4,2,2056,Residential,Tue May 20 00:00:00 EDT 2008,275000,38.411522,-121.481406,133.75486381322958
9720 LITTLE HARBOR WAY,ELK GROVE,95624,CA,4,3,2494,Residential,Tue May 20 00:00:00 EDT 2008,280000,38.404934,-121.352405,112.26944667201283
3578 LOGGERHEAD WAY,SACRAMENTO,95834,CA,4,2,2169,Residential,Tue May 20 00:00:00 EDT 2008,292000,38.633028,-121.526755,134.62425080682343
993 MANTON CT,GALT,95632,CA,4,3,2307,Residential,Tue May 20 00:00:00 EDT 2008,300000,38.272942,-121.289148,130.03901170351105
8 RIVER RAFT CT,SACRAMENTO,95823,CA,4,2,2205,Residential,Tue May 20 00:00:00 EDT 2008,319789,38.447353,-121.434969,145.02902494331065
5405 NECTAR CIR,ELK GROVE,95757,CA,3,2,2575,Residential,Tue May 20 00:00:00 EDT 2008,331000,38.387014,-121.440967,128.54368932038835
9688 NATURE TRAIL WAY,ELK GROVE,95757,CA,5,3,3389,Residential,Tue May 20 00:00:00 EDT 2008,370000,38.405224,-121.479275,109.17674830333432
9629 CEDAR OAK WAY,ELK GROVE,95757,CA,5,4,3260,Residential,Tue May 20 00:00:00 EDT 2008,385000,38.405527,-121.431746,118.09815950920246
1092 MAUGHAM CT,GALT,95632,CA,5,4,3746,Residential,Tue May 20 00:00:00 EDT 2008,420000,38.271646,-121.286848,112.11959423384944
6306 CONEJO,RANCHO MURIETA,95683,CA,4,2,3192,Residential,Tue May 20 00:00:00 EDT 2008,425000,38.512602,-121.087233,133.1453634085213
9760 LAZULITE CT,ELK GROVE,95624,CA,4,3,3992,Residential,Tue May 20 00:00:00 EDT 2008,460000,38.403609,-121.335541,115.23046092184369
241 LANFRANCO CIR,SACRAMENTO,95835,CA,4,4,3397,Residential,Tue May 20 00:00:00 EDT 2008,465000,38.665696,-121.549437,136.88548719458345
5559 NORTHBOROUGH DR,SACRAMENTO,95835,CA,5,3,3881,Residential,Tue May 20 00:00:00 EDT 2008,471750,38.677225,-121.519687,121.55372326719917
